event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_best
KHM2471,"22 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Labor Group (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Chraoy Chongvar","Chrouy Changvar","Chroy Changvar",11.5883,104.9265,1,"Camboja News; LICADHO",National,"On 22 January 2025, members of the Free Trade Union, family members, civil society representatives, and trade unions gathered at the Chea Vichea statue in Chroy Changvar (Phnom Penh) to commemorate the 21st anniversary of the assassination of Chea Vichea, the former president of the Cambodian Free Trade Union. The protesters demanded the government deliver long-overdue justice and called for proper investigations into all slain unionists.",0,"crowd size=no report",1738102167,25041
KHM2468,"21 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Farmers (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,Takeo,Bati,"Trapeang Sab",Bati,11.2729,104.8222,1,"Radio Free Asia",Regional,"On 21 January 2025, hundreds of farmers in Bati district staged a protest and blocked National Road 2 in Bati, Trapeang Sab (Takeo) to demand government intervention to address severe water shortages threatening their rice crops. Protesters used loudspeakers to call on the government to act immediately, warning of future protests if the issue remained unresolved.",0,"crowd size=hundreds",1738102167,3608
KHM2470,"20 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Labor Group (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Praek Pnov","Preaek Phnov","Preaek Phnov",11.6537,104.8618,1,"LICADHO; Radio Free Asia",National-Regional,"On 20 January 2025, about 300 workers staged a protest at a garbage collection company 800Super-GAEA in Preaek Phnov, Praek Pnov (Phnom Penh), demanding the reinstatement of union president, vice president, secretary, and treasurer, who were suspended for joining the union.",0,"crowd size=about 300",1738102167,6421
KHM2469,"18 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Labor Group (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,Kandal,"Angk Snuol",Peuk,"Angk Snuol",11.5065,104.7159,1,"Radio Free Asia",Regional,"On 18 January 2025, hundreds of workers staged a protest in front of the Glory Knitwear factory in Angk Snuol, Peuk, Angk Snuol (Kandal) to demand unpaid severance pay for 2024 and blocked National Road 4. Workers accused the factory of exploiting long-term employees and failing to honor promises to provide fair compensation upon closure.",0,"crowd size=hundreds",1738102167,1219
KHM2467,"13 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Farmers (Cambodia); Women (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,Battambang,"Moung Ruessei",Kear,"Moung Ruessei",12.7745,103.4492,1,"Radio Free Asia",Regional,"On 13 January 2025, about 60 farmers, mostly women, from Kok Thlok village, staged a protest in Moung Ruessei, Kear, Moung Ruessei (Battambang) against the sharp drop in rice prices and blocked National Road No. 5 with a tractor loaded with rice sacks and banners demanding action. The farmers called for government intervention to raise prices above 1,000 riels per kilogram to ensure profitability.",0,"crowd size=about 60",1737495249,3615
KHM2466,"18 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Labor Group (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Chamkar Mon","Tonle Basak","Tonle Basak",11.5501,104.9301,1,"Radio Free Asia",Regional,"On 18 December 2024, nearly 100 dismissed workers of NagaWorld staged a protest outside NagaWorld hotel in Tonle Basak, Chamkar Mon (Phnom Penh) to mark the third anniversary of their ongoing protest against alleged union discrimination by the casino's owner, demanding the reinstatement of dismissed union members, an end to union interference, and respect for workers' rights.",0,"crowd size=nearly 100",1736895056,10775
KHM2465,"10 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)",,Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Doun Penh","Chey Chummeah","Chey Chummeah",11.5638,104.9286,1,"Radio Free Asia",Regional,"On 10 December 2024, a group of young people and relatives of imprisoned activists, dressed in white shirts, staged a protest outside the Royal Palace in Chey Chummeah, Doun Penh (Phnom Penh). They carried banners calling for the release of prisoners of conscience and were blocked by Daun Penh district authorities from traveling to the Dangkere statue to burn incense and honor patriotic heroes on International Human Rights Day.",0,"crowd size=no report",1734479890,31931
KHM2464,"06 December 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","LICADHO: Cambodian League for the Promotion and Defense of Human Rights; Students (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Doun Penh","Srah Chak","Srah Chak",11.5761,104.9143,1,"Radio Free Asia",Regional,"On 6 December 2024, approximately 50 youth, students, and members of LICADHO, the Cambodian Human Rights Coalition (CHRAC), and other civil society organizations marched from Kampot to Srah Chak, Doun Penh (Phnom Penh) to commemorate Human Rights Day on December 10, calling for respect for human rights and the release of prisoners of conscience.",0,"crowd size=approximately 50",1733860831,39154
KHM2463,"30 November 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Labor Group (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Chamkar Mon","Tonle Basak","Tonle Basak",11.5501,104.9301,1,"Radio Free Asia",Regional,"On 30 November 2024, workers, unions, and members of NagaWorld staged a protest outside NagaWorld hotel in Tonle Basak, Chamkar Mon (Phnom Penh) demanding labor law compliance and reinstatement, while unions warned that the EU's potential withdrawal of 80% of Cambodia's 'Everything But Arms' trade benefits over human rights concerns could devastate garment workers and exports.",0,"crowd size=no report",1733860831,10775
KHM2462,"26 November 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)",,Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,Siemreap,"Siem Reap","Sla Kram","Sla Kram",13.3617,103.8605,1,"Kyodo News",International,"On 26 November 2024, more than 100 members of the International Campaign to Ban Landmines (ICBL), including landmine victims, staged a protest in front of the venue of the Ottawa Treaty Review Conference, Sokha Siem Reap Resort & Convention Center, in Sla Kram, Siem Reap (Siemreap) against the U.S. decision to supply antipersonnel mines to Ukraine, demanding the U.S. to revoke this decision and advocating for the global abolition of landmines.",0,"crowd size=more than 100",1733261079,38146
